lead_link;pipeline_20.04.2026;stage_20.04.2026
https://alladin116.amocrm.ru/leads/detail/37742637;4. ОГЗ Долгосрочные;6 месяцев
https://alladin116.amocrm.ru/leads/detail/37742667;4. ОГЗ Долгосрочные;12+ месяцев
https://alladin116.amocrm.ru/leads/detail/37742709;1. ОГЗ Квалификация;Контакт установлен
https://alladin116.amocrm.ru/leads/detail/37742733;3. ОГЗ Упрощенное;Назначена дата презентации КП и запрошены материалы
https://alladin116.amocrm.ru/leads/detail/37742753;4. ОГЗ Долгосрочные;6 месяцев
https://alladin116.amocrm.ru/leads/detail/37742803;1. ОГЗ Квалификация;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37742837;1. ОГЗ Квалификация;Недозвон
https://alladin116.amocrm.ru/leads/detail/37742639;Другое;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37742663;Другое;Запросили данные
https://alladin116.amocrm.ru/leads/detail/37742679;Другое;Запросили данные
https://alladin116.amocrm.ru/leads/detail/37742685;СТУ;Запросили данные
https://alladin116.amocrm.ru/leads/detail/37742695;Лиды обработка;Недозвон
https://alladin116.amocrm.ru/leads/detail/37742701;Другое;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37742705;АПС;Запросили данные
https://alladin116.amocrm.ru/leads/detail/37742713;Другое;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37742729;Документы ПБ;Запросили данные
https://alladin116.amocrm.ru/leads/detail/37742739;АПС;Запросили данные
https://alladin116.amocrm.ru/leads/detail/37742745;Лиды обработка;Недозвон
https://alladin116.amocrm.ru/leads/detail/37742747;Другое;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37742761;Другое;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37742763;Другое;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37742765;Документы ПБ;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37742771;Другое;Закрыто и не реализовано
https://alladin116.amocrm.ru/leads/detail/37742801;Другое;ДАННЫЕ ПРЕДОСТАВЛЕНЫ
https://alladin116.amocrm.ru/leads/detail/37742805;Другое;ОБРАБОТАНО КОММУТАТОРОМ
https://alladin116.amocrm.ru/leads/detail/37742839;Другое;ОБРАБОТАНО КОММУТАТОРОМ
https://alladin116.amocrm.ru/leads/detail/37742877;Другое;ОБРАБОТАНО КОММУТАТОРОМ
https://alladin116.amocrm.ru/leads/detail/37742883;Планы эвакуации;Запросили данные
https://alladin116.amocrm.ru/leads/detail/37742887;1. ОГЗ Квалификация;Контакт установлен